"Number";"Ettevõtja nimi";"Registrikood";"Kehtivuse algus";"Kehtivuse lõpp";"Kehtiv";"Tegevusala";"Lisainfo"
"KTO025037";"OÜ DomFood";"17070192";"03.11.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025036";"Auna OÜ";"16008081";"01.11.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024981";"Victoria Olt Gallery OÜ";"16315214";"01.11.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025035";"Shuuter OÜ";"17103394";"01.11.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025022";"Vcent Juel OÜ";"17086342";"01.11.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025032";"Alamarte OÜ";"16842209";"31.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025034";"Hardtekno OÜ";"17081646";"31.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025031";"Leno Grupp OÜ";"16327157";"31.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025033";"Osaühing Halinga Keskus";"10221759";"31.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025028";"Mimosa Production OÜ";"17102456";"30.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025030";"TOKYO TASTE OÜ";"17101231";"30.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025029";"Käma Foods OÜ";"16850048";"30.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025026";"Luksway OÜ";"16968732";"28.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025027";"OÜ Maitsete Nurk";"17096990";"28.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025025";"NAAFI Estonia OÜ";"17033624";"25.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025024";"Sofi Kohvikud OÜ";"17056708";"24.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025021";"Prep Kitchen OÜ";"16234384";"23.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025023";"osaühing Pädaste";"10020765";"23.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025020";"the doodle bar OÜ";"17069763";"22.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025019";"Easy Cook OÜ";"16519164";"21.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024998";"Best Catering Solutions OÜ";"16884260";"21.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025018";"OÜ BH Grupp";"17014963";"19.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025017";"RP9 OÜ";"16878354";"18.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025016";"Meistrimäe Kohvik OÜ";"17042416";"17.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025015";"MereBar OÜ";"16695406";"16.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025013";"Kuninga Catering OÜ";"17058073";"15.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025014";"Sooääre Köök OÜ";"16971485";"15.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025012";"Lutsu Maja OÜ";"16820308";"14.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025010";"Korall OÜ";"12212925";"14.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025011";"Do or Tai OÜ";"16831944";"14.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025009";"Köögikompanii OÜ";"16755485";"13.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025008";"Osaühing Westham Invest";"10637709";"09.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025006";"Hotel Group BaltInn OÜ";"17057352";"06.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025007";"Ritzy OÜ";"17066977";"06.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025005";"DeepNorth OÜ";"16430889";"05.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025003";"Vertigo Events OÜ";"17069438";"04.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025002";"Oja Pizza OÜ";"17025375";"04.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025001";"Osaühing Eurowell";"10993657";"02.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025000";"NOOT Agency OÜ";"17034552";"01.10.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024999";"STEFF GRILL RESTO OÜ";"17074924";"30.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024997";"Parim Baar OÜ";"17070447";"29.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024995";"Milemishe OÜ";"16987209";"25.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024996";"OÜ Nuga ja Kahvel";"16882309";"25.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024994";"OÜ Väike Petersell";"16991487";"24.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024992";"OPINT OÜ";"14313441";"23.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024993";"Otaku Köök OÜ";"16884811";"23.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024991";"Frestland Holding OÜ";"16904241";"23.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024990";"SSP MTÜ";"80643159";"22.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024989";"StarStage OÜ";"17071139";"19.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024988";"OÜ ARTENEX";"11034551";"18.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024987";"Restoran Como OÜ";"16712205";"17.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024986";"Brew Corner OÜ";"16756214";"14.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024985";"OÜ Feum";"12412848";"13.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024984";"Muliti Morompika OÜ";"17022495";"12.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024980";"Dream deal OÜ";"16023210";"10.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024982";"VÄIKELINNA OÜ";"16627681";"10.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024979";"kurvad uudised records osaühing";"16685342";"09.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024978";"BarShop Barberina OÜ";"16982548";"06.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024976";"Mare Blu OÜ";"16912789";"04.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024975";"osaühing KELLIÄRI";"10213292";"04.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024974";"Reinu Deli Osaühing";"16970781";"01.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024966";"Neko Delivery OÜ";"17052366";"01.09.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024972";"OÜ KuriKoer";"16933627";"29.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024973";"GA FOODS OÜ";"16827658";"29.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024970";"FE LOGISTIGS OÜ";"16477075";"28.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024969";"Kloostri Restoranid OÜ";"17043964";"28.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024968";"Halinga Kohvik OÜ";"17030991";"27.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024967";"Namaste India Invest OÜ";"17026104";"23.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024965";"WengerHouse OÜ";"16276342";"21.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024964";"Valge Ristik OÜ";"17045596";"21.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024963";"Maasikad Tordil OÜ";"16955238";"20.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024962";"Köögipesa OÜ";"17003600";"19.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024961";"Vesta Bistroo OÜ";"16994149";"18.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024959";"Proexpress OÜ";"14419398";"17.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024960";"Naichai OÜ";"16827724";"17.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024958";"Gambelgimbi Gidamendamb OÜ";"16994103";"15.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024948";"Airon Foods OÜ";"14438131";"14.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024957";"Malusa Food&Wine OÜ";"16921771";"14.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024956";"OÜ Asjatundja";"14953672";"13.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024955";"Anu Aljaste";"16949605";"13.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024954";"MiniWeekend OÜ";"16011253";"10.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024953";"Käesalu kunstikeskus OÜ";"16412800";"08.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024950";"Koogigram OÜ";"16368305";"06.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024951";"OÜ Suhkruingel kondiiter";"16814704";"06.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024952";"Tyche OÜ";"17029396";"06.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024947";"Postimaja Lokaal OÜ";"17039012";"01.08.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024946";"Tai Stop Food OÜ";"17019564";"31.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024945";"PÕLDMA KAUBANDUSE AKTSIASELTS";"10103586";"31.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024943";"OÜ Kaubandus Gal";"11148987";"30.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024942";"Driverunner OÜ";"16139496";"30.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024940";"Veiniriiul OÜ";"16883332";"29.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024941";"Domspiro OÜ";"14155775";"29.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024939";"Agrosol Grupp OÜ";"12036865";"29.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024938";"Doracolorade Cabezanta OÜ";"16962652";"28.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024937";"Kersti Katab Catering OÜ";"17036002";"26.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024936";"hääpuu OÜ";"16745245";"25.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024932";"Freinholdi Maja OÜ";"16107332";"24.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024933";"Verevi Kohvik OÜ";"16977091";"24.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024914";"Neko Resto OÜ";"17019883";"24.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024935";"Augustibluus OÜ";"16618386";"24.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024934";"MTÜ Fortissimo";"80349981";"24.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024931";"MMF Haldus OÜ";"16931522";"23.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024929";"Mittetulundusühing Kaberneeme Klubi";"80149006";"22.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024928";"OÜ La Casa Nostra";"10433792";"19.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024927";"OÜ Crissimo";"16186596";"18.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024924";"Osaühing EXTEBAR";"16133944";"17.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024923";"OÜ Mikker";"17006998";"17.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024925";"Kaubitrans OÜ";"16626902";"17.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024922";"Võiste Sadama OÜ";"11132650";"16.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024921";"Punta OÜ";"14986217";"13.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024920";"Damelin OÜ";"17027003";"11.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024918";"EstCatering OÜ";"16632340";"11.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024919";"Rozy OÜ";"14056398";"11.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024916";"RMA09 Holding OÜ";"17021437";"10.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024913";"POJU OÜ";"17023465";"09.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024911";"Liisi Sambas";"16998650";"08.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024912";"SKYLINE HALDUS OÜ";"16774270";"08.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024909";"Mikapada OÜ";"14185546";"05.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024910";"Kolm Sõpra OÜ";"16975376";"05.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024905";"Kaks üks kaks OÜ";"16419511";"03.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024908";"Kreiter Group OÜ";"16822721";"03.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024906";"BZD OÜ";"16240019";"03.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024907";"Veepark OÜ";"14698292";"03.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024904";"La Fermata OÜ";"16981276";"01.07.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024902";"ViksPix OÜ";"16905051";"30.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024901";"Mittetulundusühing Räimeühing";"80318905";"29.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024899";"Osaühing Olindia";"10763928";"28.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024900";"Hendrixon OÜ";"16526554";"28.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024898";"KookBistroo OÜ";"17000300";"28.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024897";"Mittetulundusühing Meie Värati";"80587806";"27.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024896";"OÜ Jantur";"14923694";"26.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024895";"Renaili OÜ";"16995841";"26.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024894";"OÜ LILJE";"11460940";"25.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024893";"OÜ Kuuvarjutus";"12841153";"25.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024890";"Kristinstore OÜ";"14007253";"24.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024891";"Alsedema OÜ";"16266786";"24.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024892";"OÜ EUROFORTRESS";"11444160";"24.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024889";"MTÜ AN12";"80628729";"23.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024888";"ALKA Consult OÜ";"14323149";"21.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024886";"Osaühing Horndal";"11408448";"20.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024887";"OÜ MAHLAVESKI";"16912306";"20.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024818";"Perona Surf OÜ";"16676099";"19.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024885";"Krikus OÜ";"12990025";"18.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024884";"RANNAKARU OÜ";"17009073";"17.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024882";"J-WORKS OÜ";"14956630";"17.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024883";"Osaühing Urban Sport";"11443775";"17.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024879";"I Land Sound Festival OÜ";"16740199";"14.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024881";"Osaühing GLANZ & GLAMUUR";"11119247";"14.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024880";"Siniallikas OÜ";"16917195";"14.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024878";"SHAURMA Haapsalu OÜ";"16929502";"13.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024876";"OÜ VIIS PÄEVA";"16650119";"12.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024877";"OÜ Tulbid ja Jalgratas";"14410279";"12.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024875";"Moretanlab OÜ";"14718405";"11.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024874";"Viis Viimast Events OÜ";"16994126";"11.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024872";"KOHVIK MOKA OÜ";"14020845";"10.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024870";"PRFO Solutions OÜ";"16733101";"09.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024869";"OÜ VAHVA VAHVEL";"14036875";"08.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024864";"Suurkivi Mahetalu OÜ";"14241606";"06.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024863";"LePe OÜ";"12779454";"06.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024866";"POINT Productions OÜ";"11570031";"06.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024865";"osaühing MAAGIR";"10395577";"06.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024862";"Obvia OÜ";"16250839";"06.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024858";"Krassi Design OÜ";"14279626";"05.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024859";"elresto OÜ";"16866210";"05.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024860";"Avatud Baar OÜ";"16909853";"05.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024861";"HLN Projekt OÜ";"16692336";"05.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024857";"OÜ Koeru Aed";"16975399";"05.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024855";"PUHJA KOHVIK OÜ";"16942017";"04.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024856";"LOUNGE BAR OÜ";"16989898";"04.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024854";"Saku Pagar OÜ";"16674456";"03.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024853";"EL MANTE OÜ";"12432822";"01.06.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024851";"Lumiste Aiand OÜ";"16289669";"31.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024850";"Mittetulundusühing Mõnnaste Meierei";"80606662";"31.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024852";"IK Solutions OÜ";"16221341";"31.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024849";"OÜ ALEKSEF";"16825932";"30.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024847";"JK Jewel OÜ";"16940350";"30.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024845";"Rõõmupuhvet OÜ";"16975471";"29.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024842";"Matsiaru OÜ";"16753173";"28.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024843";"Laaneserva OÜ";"14092922";"28.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024844";"Metsküla OÜ";"12510157";"28.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024840";"Hiiumaa Ibiza OÜ";"16988213";"28.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024841";"MELINDA OÜ";"16926490";"28.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024838";"Benet&Drink OÜ";"16989390";"27.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024837";"Koogihaldjas OÜ";"12287165";"27.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024836";"OÜ Rentaablit";"16217322";"26.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024835";"PastaHeaven OÜ";"16579539";"26.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024833";"OÜ KP TIPSTER";"11399778";"24.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024832";"KUURI Kohvik OÜ";"16971680";"24.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024830";"Porkuni Viinavabrik OÜ";"16859664";"23.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024831";"Rõõmumaster OÜ";"16858831";"23.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024828";"osaühing Enera";"10810378";"23.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024825";"Osaühing Nurmberg Ehitus";"11186404";"22.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024824";"Kelt Adventure OÜ";"16914920";"22.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024827";"MerilainCapital OÜ";"16489138";"22.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024823";"TOJ SUSHI OÜ";"16156649";"21.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024820";"OÜ Tehnokunn";"12672070";"21.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024822";"Kardemon Coffee OÜ";"16982363";"21.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024819";"Gastronaut Group OÜ";"14519757";"20.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024817";"Asertek OÜ";"16883711";"19.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024816";"Morber OÜ";"14233742";"19.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024813";"Kalana Properties OÜ";"16079825";"17.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024814";"Supranee OÜ";"16588410";"17.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024815";"Jannsenipizza OÜ";"16953512";"17.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024810";"- Mazeduzzaman";"16592215";"16.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024812";"Tiridates Grupp OÜ";"16321628";"16.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024811";"Epic Brands OÜ";"12823008";"16.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024808";"Telliskivi Dogs OÜ";"16734556";"15.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024807";"Hapsal Wein OÜ";"16275029";"14.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024806";"AIME kartul OÜ";"16799703";"14.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024805";"Bill the Butcher OÜ";"16202102";"13.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024740";"EvelynEs Teenused OÜ";"14758156";"13.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024804";"Saborlatin OÜ";"16905111";"11.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024803";"OÜ Kadi Kausid";"16902288";"10.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024801";"Habib Food OÜ";"16924373";"10.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024802";"Liiva Puhkemaja OÜ";"16551239";"10.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024799";"KÄMP OÜ";"16974543";"08.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024798";"Peohaldus OÜ";"16967336";"08.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024800";"STEFF GRILL OÜ";"16232385";"08.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024797";"Karukohvik OÜ";"16942230";"07.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024795";"Fitzpatrickgallery OÜ";"14564901";"06.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024769";"Rebaseonu.ee OÜ";"11209625";"06.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024794";"Taso Tuul OÜ";"16579674";"03.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024792";"OÜ Alioli";"14387161";"02.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024793";"OÜ PopTheDog";"16738222";"02.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024791";"Pidu ja Pillerkaar OÜ";"16722876";"02.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024758";"OÜ Karusmarja Catering";"16855956";"02.05.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024789";"Oraveski OÜ";"16784819";"30.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024790";"JU&JE FOOD OÜ";"16807816";"30.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024788";"KURGO RESTORAN OÜ";"16941093";"29.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024786";"Nightberry OÜ";"16939788";"29.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024787";"OÜ OctoberFirst";"10145389";"29.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024785";"DSMarket OÜ";"14357177";"29.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024784";"OÜ Puuenergia";"14123338";"29.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024783";"Villa Lavendel OÜ";"14257961";"29.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024782";"OÜ EuroClass";"10978451";"26.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024781";"PILV BUGATTI OÜ";"16940644";"26.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024780";"RestoWose OÜ";"16973124";"25.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024778";"Medusa Holding OÜ";"16969542";"25.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO024779";"Ostberg OÜ";"14960287";"25.04.2024";"Tähtajatu";"Jah";"Toitlustamine";""
